device,num_adversaries,f1,aggregation,injected
pi4-2gb-wc,3,3.680981595092024,fed_avg,pi4-2gb-bc
pi4-4gb,3,0.4987531172069826,fed_avg,pi4-2gb-bc
All,3,15.508792159123669,fed_avg,pi4-2gb-bc
pi3-1gb,4,29.242262540021347,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,0.0,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,0.0,fed_avg,pi4-2gb-bc
pi4-4gb,4,0.0,fed_avg,pi4-2gb-bc
All,4,8.210967935271203,fed_avg,pi4-2gb-bc
pi3-1gb,0,85.65310492505354,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,85.79586009992862,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,85.71428571428571,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,85.71428571428571,trimmed_mean,pi4-2gb-bc
All,0,85.71938593359515,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,66.61115736885928,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,48.05318138651472,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,49.62406015037594,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,46.88995215311005,trimmed_mean,pi4-2gb-bc
All,1,53.266101306440525,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,60.26200873362446,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,38.546922300706356,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,40.796019900497505,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,37.398373983739845,trimmed_mean,pi4-2gb-bc
All,2,44.84848484848485,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,42.67453294001967,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,3,1.734820322180917,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,2.9556650246305423,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,1.4888337468982629,trimmed_mean,pi4-2gb-bc
All,3,14.061592097617662,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,46.596356663470765,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,2.2249690976514214,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,2.9556650246305423,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,0.0,trimmed_mean,pi4-2gb-bc
All,4,15.242494226327945,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,85.71428571428571,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,0,85.65310492505354,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,85.79586009992862,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,85.71428571428571,trimmed_mean_2,pi4-2gb-bc
All,0,85.71938593359515,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,66.66666666666666,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,37.892603850050655,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,42.0533070088845,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,34.53981385729058,trimmed_mean_2,pi4-2gb-bc
All,1,46.412287017038636,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,63.7137989778535,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,29.78723404255319,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,2,31.9327731092437,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,27.213822894168466,trimmed_mean_2,pi4-2gb-bc
All,2,39.679358717434866,trimmed_mean_2,pi4-2gb-bc
