device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-4gb,2,18.552036199095024,82,2,198,718,fed_avg,pi4-2gb-bc
All,2,21.16991643454039,380,10,790,2820,fed_avg,pi4-2gb-bc
pi3-1gb,3,30.834213305174234,146,1,199,654,fed_avg,pi4-2gb-bc
pi4-2gb-bc,3,2.2249690976514214,9,0,200,791,fed_avg,pi4-2gb-bc
pi4-2gb-wc,3,3.6764705882352944,15,1,199,785,fed_avg,pi4-2gb-bc
pi4-4gb,3,3.194103194103194,13,1,199,787,fed_avg,pi4-2gb-bc
All,3,10.809214412285883,183,3,797,3017,fed_avg,pi4-2gb-bc
pi3-1gb,4,45.68138195777352,238,4,196,562,fed_avg,pi4-2gb-bc
pi4-2gb-bc,4,3.198031980319803,13,0,200,787,fed_avg,pi4-2gb-bc
pi4-2gb-wc,4,5.097087378640777,21,3,197,779,fed_avg,pi4-2gb-bc
pi4-4gb,4,2.9556650246305423,12,0,200,788,fed_avg,pi4-2gb-bc
All,4,16.270409624749355,284,7,793,2916,fed_avg,pi4-2gb-bc
pi3-1gb,0,85.79545454545455,604,4,196,196,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,0,85.79545454545455,604,4,196,196,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,0,86.26062322946176,609,3,197,191,trimmed_mean,pi4-2gb-bc
pi4-4gb,0,85.81610833927297,602,1,199,198,trimmed_mean,pi4-2gb-bc
All,0,85.91724382880483,2419,12,788,781,trimmed_mean,pi4-2gb-bc
pi3-1gb,1,69.1116544417278,424,3,197,376,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,1,50.46728971962617,270,0,200,530,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,1,52.48618784530387,285,1,199,515,trimmed_mean,pi4-2gb-bc
pi4-4gb,1,47.71863117870722,251,1,199,549,trimmed_mean,pi4-2gb-bc
All,1,55.46786922209696,1230,5,795,1970,trimmed_mean,pi4-2gb-bc
pi3-1gb,2,60.13986013986015,344,0,200,456,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,2,36.19631901840491,177,1,199,623,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,2,38.955823293172685,194,2,198,606,trimmed_mean,pi4-2gb-bc
pi4-4gb,2,36.36363636363637,178,1,199,622,trimmed_mean,pi4-2gb-bc
All,2,43.59287283378082,893,4,796,2307,trimmed_mean,pi4-2gb-bc
pi3-1gb,3,49.812734082397014,266,2,198,534,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,3,3.6719706242350063,15,2,198,785,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,6.76328502415459,28,0,200,772,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,3.6764705882352944,15,1,199,785,trimmed_mean,pi4-2gb-bc
All,3,18.362142249929157,324,5,795,2876,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,41.970443349753694,213,2,198,587,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,2.712700369913687,11,0,200,789,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,4.866180048661801,20,2,198,780,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,3.194103194103194,13,1,199,787,trimmed_mean,pi4-2gb-bc
All,4,14.846909300982091,257,5,795,2943,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,85.91648973814578,607,6,194,193,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,0,86.05974395448081,605,1,199,195,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,85.61253561253562,601,3,197,199,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,85.6735566642908,601,2,198,199,trimmed_mean_2,pi4-2gb-bc
All,0,85.81585495911838,2414,12,788,786,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,67.86590351594441,415,8,192,385,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,41.584158415841586,210,0,200,590,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,45.32304725168756,235,2,198,565,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,40.95427435387674,206,0,200,594,trimmed_mean_2,pi4-2gb-bc
All,1,49.85968194574368,1066,10,790,2134,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,64.58684654300168,383,3,197,417,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,33.95445134575569,164,2,198,636,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,2,35.318275154004105,172,2,198,628,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,33.333333333333336,160,0,200,640,trimmed_mean_2,pi4-2gb-bc
All,2,43.024963289280464,879,7,793,2321,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,3,38.670694864048336,192,1,199,608,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,3.431372549019608,14,2,198,786,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,4.878048780487806,20,0,200,780,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,3,3.1784841075794623,13,5,195,787,trimmed_mean_2,pi4-2gb-bc
All,3,13.867130838410214,239,8,792,2961,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,47.71863117870722,251,1,199,549,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,1.977750309023486,8,1,199,792,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,4.622871046228711,19,3,197,781,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,2.9447852760736195,12,3,197,788,trimmed_mean_2,pi4-2gb-bc
All,4,16.580903373356204,290,8,792,2910,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,85.95744680851062,606,4,196,194,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,85.97864768683276,604,1,199,196,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,85.91648973814578,607,6,194,193,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,85.8974358974359,603,1,199,197,coordinate_wise_median,pi4-2gb-bc
All,0,85.9375,2420,12,788,780,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,66.50041562759768,400,3,197,400,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,26.78185745140389,124,2,198,676,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,26.030368763557487,120,2,198,680,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,26.78185745140389,124,2,198,676,coordinate_wise_median,pi4-2gb-bc
All,1,38.6220769424189,768,9,791,2432,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,2,23.348017621145374,106,2,198,694,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,0.49813200498132004,2,1,199,798,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,1.73053152039555,7,2,198,793,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,2.2249690976514214,9,0,200,791,coordinate_wise_median,pi4-2gb-bc
All,2,7.449684589966957,124,5,795,3076,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,24.863685932388226,114,3,197,686,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,1.486988847583643,6,1,199,794,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,1.4833127317676145,6,3,197,794,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,3,3.190184049079755,13,2,198,787,coordinate_wise_median,pi4-2gb-bc
All,3,8.303464755077657,139,9,791,3061,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,38.066465256797585,189,4,196,611,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,0.9950248756218907,4,0,200,796,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,2.6993865030674846,11,4,196,789,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,1.240694789081886,5,1,199,795,coordinate_wise_median,pi4-2gb-bc
