device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,0,76.92307692307693,375,0,150,225,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,76.79671457905543,374,0,150,226,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,77.04918032786885,376,0,150,224,trimmed_mean_2,pi4-2gb-bc
All,0,74.50980392156863,1425,0,600,975,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,67.10963455149502,303,0,150,297,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,70.12987012987013,324,0,150,276,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,70.41036717062634,326,0,150,274,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,70.6896551724138,328,0,150,272,trimmed_mean_2,pi4-2gb-bc
All,1,69.60065199674001,1281,0,600,1119,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,24.046920821114366,82,0,150,518,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,79.51807228915662,396,0,150,204,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,2,79.51807228915662,396,0,150,204,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,80.35892323030906,403,0,150,197,trimmed_mean_2,pi4-2gb-bc
All,2,69.45879793309763,1277,0,600,1123,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,3,0.6644518272425249,2,0,150,598,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,69.34782608695653,319,1,149,281,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,68.69565217391305,316,4,146,284,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,3,68.98047722342734,318,4,146,282,trimmed_mean_2,pi4-2gb-bc
All,3,56.77764565992865,955,9,591,1445,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,4,0.0,0,0,150,600,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,4,58.93719806763285,305,130,20,295,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,4,61.169702780441035,319,124,26,281,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,4,69.7455230914232,370,91,59,230,trimmed_mean_2,pi4-2gb-bc
All,4,53.16929660336987,994,345,255,1406,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,0,3.9215686274509802,12,0,150,588,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,0,55.5956678700361,231,0,150,369,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,0,58.657243816254415,249,0,150,351,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,0,52.760736196319016,215,0,150,385,coordinate_wise_median,pi4-2gb-bc
All,0,45.51013839716769,707,0,600,1693,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,1,23.52941176470588,80,0,150,520,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,1,68.7089715536105,314,0,150,286,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,1,69.13849509269356,317,0,150,283,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,1,69.84815618221258,322,0,150,278,coordinate_wise_median,pi4-2gb-bc
All,1,60.18060005825808,1033,0,600,1367,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,2,23.78854625550661,81,0,150,519,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,2,85.27724665391969,446,0,150,154,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,2,85.38681948424069,447,0,150,153,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,2,83.72093023255813,432,0,150,168,coordinate_wise_median,pi4-2gb-bc
All,2,73.88334209143457,1406,0,600,994,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,3,37.61840324763193,139,0,150,461,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,3,67.54966887417218,306,0,150,294,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,3,68.7089715536105,314,0,150,286,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,3,67.54966887417218,306,0,150,294,coordinate_wise_median,pi4-2gb-bc
All,3,61.471861471861466,1065,0,600,1335,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,4,0.0,0,0,150,600,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-bc,4,40.84880636604775,154,0,150,446,coordinate_wise_median,pi4-2gb-bc
pi4-2gb-wc,4,41.05960264900663,155,0,150,445,coordinate_wise_median,pi4-2gb-bc
pi4-4gb,4,41.897233201581024,159,0,150,441,coordinate_wise_median,pi4-2gb-bc
All,4,32.63598326359833,468,0,600,1932,coordinate_wise_median,pi4-2gb-bc
pi3-1gb,0,86.47114474929045,457,0,150,143,fed_avg,pi4-4gb
pi4-2gb-bc,0,88.68274582560296,478,0,150,122,fed_avg,pi4-4gb
pi4-2gb-wc,0,88.18604651162791,474,1,149,126,fed_avg,pi4-4gb
pi4-4gb,0,88.57938718662953,477,0,150,123,fed_avg,pi4-4gb
All,0,87.98693725215769,1886,1,599,514,fed_avg,pi4-4gb
pi3-1gb,1,85.7685009487666,452,2,148,148,fed_avg,pi4-4gb
pi4-2gb-bc,1,94.27312775330398,535,0,150,65,fed_avg,pi4-4gb
pi4-2gb-wc,1,94.09691629955947,534,1,149,66,fed_avg,pi4-4gb
pi4-4gb,1,94.55184534270651,538,0,150,62,fed_avg,pi4-4gb
All,1,92.29045271178845,2059,3,597,341,fed_avg,pi4-4gb
pi3-1gb,2,85.38681948424069,447,0,150,153,fed_avg,pi4-4gb
pi4-2gb-bc,2,88.02228412256268,474,3,147,126,fed_avg,pi4-4gb
pi4-2gb-wc,2,88.35489833641404,478,4,146,122,fed_avg,pi4-4gb
pi4-4gb,2,87.73234200743494,472,4,146,128,fed_avg,pi4-4gb
All,2,87.38907052779076,1871,11,589,529,fed_avg,pi4-4gb
pi3-1gb,3,66.74057649667407,301,1,149,299,fed_avg,pi4-4gb
pi4-2gb-bc,3,84.83685220729367,442,0,150,158,fed_avg,pi4-4gb
pi4-2gb-wc,3,83.41416100872941,430,1,149,170,fed_avg,pi4-4gb
pi4-4gb,3,83.72093023255813,432,0,150,168,fed_avg,pi4-4gb
All,3,80.10980783628649,1605,2,598,795,fed_avg,pi4-4gb
pi3-1gb,4,41.131105398457585,160,18,132,440,fed_avg,pi4-4gb
pi4-2gb-bc,4,55.29953917050692,240,28,122,360,fed_avg,pi4-4gb
pi4-2gb-wc,4,55.092592592592595,238,26,124,362,fed_avg,pi4-4gb
pi4-4gb,4,54.269005847953224,232,23,127,368,fed_avg,pi4-4gb
All,4,51.708766716196145,870,95,505,1530,fed_avg,pi4-4gb
pi3-1gb,0,74.0041928721174,353,1,149,247,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,85.16746411483254,445,0,150,155,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,85.49618320610688,448,0,150,152,trimmed_mean,pi4-4gb
pi4-4gb,0,86.03988603988604,453,0,150,147,trimmed_mean,pi4-4gb
All,0,82.87804878048782,1699,1,599,701,trimmed_mean,pi4-4gb
pi3-1gb,1,87.64044943820225,468,0,150,132,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,87.74555659494854,469,0,150,131,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,88.05970149253731,472,0,150,128,trimmed_mean,pi4-4gb
pi4-4gb,1,88.37209302325581,475,0,150,125,trimmed_mean,pi4-4gb
All,1,87.95518207282913,1884,0,600,516,trimmed_mean,pi4-4gb
pi3-1gb,2,85.66001899335234,451,2,148,149,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,86.03988603988604,453,0,150,147,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,85.98484848484848,454,2,148,146,trimmed_mean,pi4-4gb
pi4-4gb,2,85.71428571428571,450,0,150,150,trimmed_mean,pi4-4gb
All,2,85.84995251661918,1808,4,596,592,trimmed_mean,pi4-4gb
pi3-1gb,3,85.30534351145039,447,1,149,153,trimmed_mean,pi4-4gb
pi4-2gb-bc,3,86.17424242424242,455,1,149,145,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,85.93155893536121,452,0,150,148,trimmed_mean,pi4-4gb
pi4-4gb,3,85.27724665391969,446,0,150,154,trimmed_mean,pi4-4gb
All,3,85.67348881485007,1800,2,598,600,trimmed_mean,pi4-4gb
pi3-1gb,4,75.61475409836065,369,7,143,231,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,48.29329962073325,191,0,150,409,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,50.374064837905244,202,0,150,398,trimmed_mean,pi4-4gb
pi4-4gb,4,48.80503144654088,194,1,149,406,trimmed_mean,pi4-4gb
All,4,56.83709869203328,956,8,592,1444,trimmed_mean,pi4-4gb
