device,num_adversaries,f1,aggregation,injected
pi4-2gb-bc,3,75.04302925989673,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,3,75.17241379310346,trimmed_mean,pi4-2gb-bc
pi4-4gb,3,75.87982832618026,trimmed_mean,pi4-2gb-bc
All,3,64.3014436016638,trimmed_mean,pi4-2gb-bc
pi3-1gb,4,0.0,trimmed_mean,pi4-2gb-bc
pi4-2gb-bc,4,57.14285714285715,trimmed_mean,pi4-2gb-bc
pi4-2gb-wc,4,57.14285714285715,trimmed_mean,pi4-2gb-bc
pi4-4gb,4,57.19733079122974,trimmed_mean,pi4-2gb-bc
All,4,48.01280341424379,trimmed_mean,pi4-2gb-bc
pi3-1gb,0,54.89721886336155,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,0,67.69570011025358,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,0,68.42105263157895,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,0,67.69570011025358,trimmed_mean_2,pi4-2gb-bc
All,0,64.90289895862651,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,1,66.66666666666666,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,1,67.25663716814158,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,1,66.36971046770601,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,1,67.54966887417218,trimmed_mean_2,pi4-2gb-bc
All,1,66.96230598669622,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,2,49.246231155778894,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,2,67.69527483124396,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,2,67.3704414587332,trimmed_mean_2,pi4-2gb-bc
pi4-4gb,2,69.8,trimmed_mean_2,pi4-2gb-bc
All,2,64.36129032258064,trimmed_mean_2,pi4-2gb-bc
pi3-1gb,3,0.0,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-bc,3,61.613216715257536,trimmed_mean_2,pi4-2gb-bc
pi4-2gb-wc,3,63.286384976525824,trimmed_mean_2,pi4-2gb-bc
